cds	logFC	adj.P.Val	focus_term	sseqid	evalue	pident	ppos	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	gb|KAF0926528.1|	6.07e-12	48	65.33	hypothetical protein E2562_026017 [Oryza meyeriana var. granulata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_030538827.1|	6.18e-12	45	55	mitogen-activated protein kinase kinase kinase 18-like [Rhodamnia argentea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_010244478.1|	7.14e-12	48.352	59.34	PREDICTED: mitogen-activated protein kinase kinase kinase 2-like [Nelumbo nucifera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	gb|RVW40189.1|	8.61e-12	43.678	64.37	Mitogen-activated protein kinase kinase kinase 18 [Vitis vinifera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_022867283.1|	1.03e-11	51.515	71.21	mitogen-activated protein kinase kinase kinase 17-like [Olea europaea var. sylvestris]<>mitogen-activated protein kinase kinase kinase 17-like [Olea europaea var. sylvestris]<>mitogen-activated kinase kinase kinase A-like [Olea europaea subsp. europaea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_034677684.1|	1.03e-11	42.222	63.33	mitogen-activated protein kinase kinase kinase 18 [Vitis riparia]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_006646239.1|	1.03e-11	46.97	69.7	mitogen-activated protein kinase kinase kinase 17-like [Oryza brachyantha]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_039851745.1|	1.09e-11	48.684	64.47	mitogen-activated protein kinase kinase kinase 18-like [Panicum virgatum]<>hypothetical protein PVAP13_5KG498200 [Panicum virgatum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10548_c4_g12_i1:3-299(-)	4.02188152613696	0.0306540960138372	R_cType	ref|XP_010644538.1|	1.15e-11	42.222	62.22	PREDICTED: mitogen-activated protein kinase kinase kinase 2 [Vitis vinifera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	dbj|BAA13135.1|	0	79.172	87.45	subtilisin-like protein [Picea abies]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_006846917.1|	0	55.462	68.63	CO(2)-response secreted protease [Amborella trichopoda]<>hypothetical protein AMTR_s00152p00071630 [Amborella trichopoda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_010266013.1|	0	54.738	68.46	PREDICTED: CO(2)-response secreted protease-like [Nelumbo nucifera]<>TPA_asm: hypothetical protein HUJ06_016006 [Nelumbo nucifera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_010933350.2|	0	53.889	69.44	LOW QUALITY PROTEIN: CO(2)-response secreted protease [Elaeis guineensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_008809445.3|	0	53.039	68.51	CO(2)-response secreted protease-like [Phoenix dactylifera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_008800183.2|	0	53.552	68.72	CO(2)-response secreted protease-like [Phoenix dactylifera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	gb|KAF3328165.1|	0	53.475	69.65	subtilisin-like protease SBT5.3 [Carex littledalei]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	gb|RWR79245.1|	0	53.024	70.04	CO2-response secreted protease-like protein [Cinnamomum micranthum f. kanehirae]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_020261629.1|	0	53.444	68.87	CO(2)-response secreted protease-like [Asparagus officinalis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	2.45543614723887	0.000495101064209328	R_cType	ref|XP_004956009.1|	0	53.911	68.3	CO(2)-response secreted protease [Setaria italica]<>hypothetical protein SETIT_2G109700v2 [Setaria italica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	ref|XP_009798264.1|	3.64e-70	39.096	54.52	PREDICTED: E3 ubiquitin-protein ligase ATL42-like [Nicotiana sylvestris]<>PREDICTED: E3 ubiquitin-protein ligase ATL42-like [Nicotiana tabacum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	ref|XP_009612404.1|	5.52e-70	37.692	54.62	E3 ubiquitin-protein ligase ATL42-like [Nicotiana tomentosiformis]<>PREDICTED: E3 ubiquitin-protein ligase ATL42-like [Nicotiana tabacum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	gb|KAF3615295.1|	7.47e-70	38.601	55.18	putative xyloglucan endotransglucosylase/hydrolase protein 26 [Capsicum annuum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	gb|KAF3683777.1|	8.32e-70	38.601	55.18	putative xyloglucan endotransglucosylase/hydrolase protein 26 [Capsicum annuum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	gb|KAF9599813.1|	2.27e-69	43.155	57.74	hypothetical protein IFM89_001759 [Coptis chinensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	ref|XP_019233222.1|	1.35e-68	39.385	55.31	PREDICTED: E3 ubiquitin-protein ligase ATL42-like [Nicotiana attenuata]<>PREDICTED: E3 ubiquitin-protein ligase ATL42-like [Nicotiana attenuata]<>e3 ubiquitin-protein ligase atl42 [Nicotiana attenuata]<>e3 ubiquitin-protein ligase atl42 [Nicotiana attenuata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	gb|TMW90637.1|	4.23e-68	37.845	54.97	hypothetical protein EJD97_015436 [Solanum chilense]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	ref|XP_015060718.1|	1.36e-67	36.915	54.55	E3 ubiquitin-protein ligase ATL42-like [Solanum pennellii]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	gb|KAF5175893.1|	3.26e-67	40.782	56.15	Ring-h2 finger protein atl43 [Thalictrum thalictroides]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10701_c0_g1_i1:130-1305(+)	3.53216901945458	0.0254999983055582	R_cType	ref|XP_031250578.1|	1.15e-66	35.678	51.01	E3 ubiquitin-protein ligase ATL42-like [Pistacia vera]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	gb|ADN52337.1|	2.38e-61	80.508	87.29	WD40-2 protein, partial [Pyrus pyrifolia]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	dbj|GAQ92608.1|	4.9e-61	86.957	89.57	Hypothetical protein KFL_010690030 [Klebsormidium nitens]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	dbj|GER24626.1|	6.35e-61	82.203	88.14	WD-repeat protein [Striga asiatica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	gb|PTQ28521.1|	6.93e-61	86.957	89.57	hypothetical protein MARPO_0161s0021 [Marchantia polymorpha]<>hypothetical protein MARPO_0161s0021 [Marchantia polymorpha]<>hypothetical protein Mp_5g01830 [Marchantia polymorpha subsp. ruderalis]<>hypothetical protein Mp_5g01830 [Marchantia polymorpha subsp. ruderalis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	gb|OAE20320.1|	1.34e-60	86.957	89.57	hypothetical protein AXG93_2338s1090 [Marchantia polymorpha subsp. ruderalis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	gb|KAG0557948.1|	3.18e-60	86.087	89.57	hypothetical protein KC19_11G167700 [Ceratodon purpureus]<>hypothetical protein M758_11G163400 [Ceratodon purpureus]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	ref|XP_024360619.1|	3.18e-60	83.898	88.14	WD repeat-containing protein LWD1-like [Physcomitrium patens]<>WD repeat-containing protein LWD1-like [Physcomitrium patens]<>hypothetical protein PHYPA_027323 [Physcomitrium patens]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	gb|MBC9839236.1|	3.87e-60	84.348	88.7	hypothetical protein [Adiantum capillus-veneris]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	ref|XP_022866828.1|	5.53e-60	84.348	89.57	WD repeat-containing protein LWD1-like [Olea europaea var. sylvestris]<>WD repeat-containing protein LWD1-like [Olea europaea var. sylvestris]<>WD repeat-containing protein LWD1-like [Olea europaea var. sylvestris]<>WD repeat-containing LWD1 [Olea europaea subsp. europaea]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR107113_c0_g1_i1:58-420(-)	3.82029522107305	0.0491385716483504	R_cType	gb|KAF4376037.1|	5.9e-60	81.739	88.7	hypothetical protein G4B88_029401, partial [Cannabis sativa]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|ABK24685.1|	7.94e-66	83.594	89.06	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|ADE76292.1|	1.27e-60	76.984	84.92	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|AJP06317.1|	1.94e-58	76.984	87.3	Lipase 2, partial [Pinus tabuliformis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|AJP06316.1|	9.25e-54	68.889	79.26	Lipase 1 [Pinus tabuliformis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	ref|XP_020235407.1|	3.62e-17	39.394	59.85	protein EDS1L [Cajanus cajan]<>hypothetical protein KK1_031377 [Cajanus cajan]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	ref|XP_022635644.1|	1.21e-15	40	57.69	protein EDS1L [Vigna radiata var. radiata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	ref|NP_001276272.2|	3.07e-15	40	58.46	protein EDS1-like [Glycine max]<>hypothetical protein JHK87_015616 [Glycine soja]<>hypothetical protein GLYMA_06G187400v4 [Glycine max]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|ADC45394.1|	3.07e-15	40	58.46	EDS1-2 [Glycine max]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|KAG5046295.1|	3.07e-15	40	58.46	hypothetical protein JHK86_015701 [Glycine max]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109682_c0_g1_i1:3-386(+)	2.68267131679532	0.0142474611008647	R_cType	gb|KAG5032083.1|	3.07e-15	40	58.46	hypothetical protein JHK85_016065 [Glycine max]<>hypothetical protein JHK82_015673 [Glycine max]<>hypothetical protein glysoja_012271 [Glycine soja]<>Protein EDS1L isoform A [Glycine soja]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AHW42452.1|	7.16e-131	92.821	96.41	GA2ox2 [Pinus tabuliformis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|ABK24855.1|	6.51e-125	89.744	96.41	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AHW42458.1|	3.09e-120	85.128	93.33	GA2ox8 [Pinus tabuliformis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AHW42456.1|	3.45e-116	82.051	91.79	GA2ox6 [Pinus tabuliformis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AAA85365.1|	1.82e-82	62.176	80.31	ethylene-forming enzyme [Picea glauca]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AFG61605.1|	2.45e-77	87.597	95.35	hypothetical protein 1_1987_01, partial [Pinus taeda]<>hypothetical protein 1_1987_01, partial [Pinus taeda]<>hypothetical protein 1_1987_01, partial [Pinus taeda]<>hypothetical protein 1_1987_01, partial [Pinus taeda]<>hypothetical protein 1_1987_01, partial [Pinus taeda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AFG61612.1|	5.75e-77	86.822	95.35	hypothetical protein 1_1987_01, partial [Pinus taeda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|ADE75592.1|	1.51e-76	57.949	73.85	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|AEW08108.1|	1.96e-76	86.822	94.57	hypothetical protein 1_1987_01, partial [Pinus radiata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR109828_c1_g1_i1:2-586(+)	9.10896541710045	0.0018973094757225	R_cType	gb|TQE02729.1|	4.2e-74	58.673	76.02	hypothetical protein C1H46_011702 [Malus baccata]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABR16667.1|	5.73e-55	76.471	88.24	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABR16586.1|	2.01e-53	72.269	86.55	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABR17724.1|	1.12e-46	70.588	80.67	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABR16911.1|	2.08e-46	69.748	80.67	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABK24815.1|	1.14e-44	68.908	77.31	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABK21766.1|	1.33e-43	65.546	78.15	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABK21622.1|	5.37e-40	59.829	76.07	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|AFG58676.1|	8.61e-40	80.488	87.8	hypothetical protein CL864Contig1_02, partial [Pinus taeda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|AFG58664.1|	1.84e-39	79.268	87.8	hypothetical protein CL864Contig1_02, partial [Pinus taeda]<>hypothetical protein CL864Contig1_02, partial [Pinus taeda]<>hypothetical protein CL864Contig1_02, partial [Pinus taeda]<>hypothetical protein CL864Contig1_02, partial [Pinus taeda]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110334_c0_g1_i1:1-348(-)	2.49959694414748	0.00549433826904137	R_cType	gb|ABR16483.1|	1.85e-39	64.706	78.15	unknown [Picea sitchensis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	gb|KAB2633803.1|	0	62.195	76.83	hypothetical protein D8674_030050 [Pyrus ussuriensis x Pyrus communis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	ref|XP_008240332.1|	0	62.439	76.1	PREDICTED: uncharacterized protein LOC103338853 [Prunus mume]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	gb|KAB2633819.1|	0	62.195	76.59	hypothetical protein D8674_030066 [Pyrus ussuriensis x Pyrus communis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	ref|XP_028948758.1|	0	62.439	76.59	uncharacterized protein LOC103455709 [Malus domestica]<>uncharacterized protein LOC103455709 [Malus domestica]<>uncharacterized protein LOC103455709 [Malus domestica]<>hypothetical protein DVH24_023407 [Malus domestica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	ref|XP_007209163.1|	0	62.195	76.1	uncharacterized protein LOC18777933 [Prunus persica]<>hypothetical protein PRUPE_5G244800 [Prunus persica]<>hypothetical protein PRUPE_5G244800 [Prunus persica]<>hypothetical protein PRUPE_5G244800 [Prunus persica]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	ref|XP_021801578.1|	0	62.195	75.85	uncharacterized protein LOC110745751 [Prunus avium]<>uncharacterized protein LOC110745751 [Prunus avium]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	ref|XP_034216294.1|	0	62.195	75.85	uncharacterized protein LOC117628043 [Prunus dulcis]<>PREDICTED: BRO1 [Prunus dulcis]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	emb|CAB4281629.1|	0	62.195	75.85	unnamed protein product [Prunus armeniaca]<>unnamed protein product [Prunus armeniaca]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	ref|XP_009355921.1|	0	61.707	76.59	PREDICTED: uncharacterized protein LOC103946847 [Pyrus x bretschneideri]<>PREDICTED: uncharacterized protein LOC103946847 [Pyrus x bretschneideri]<>PREDICTED: uncharacterized protein LOC103946847 [Pyrus x bretschneideri]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR110628_c0_g1_i1:302-1639(+)	2.15544986280024	0.00321288649320742	R_cType	gb|PQQ18240.1|	0	61.951	75.85	uncharacterized protein Pyn_13280 [Prunus yedoensis var. nudiflora]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11262_c0_g1_i1:458-1588(+)	6.93115960041912	0.0014444475238075	R_cType	dbj|GFP88567.1|	2.51e-44	59.091	74.24	RING-H2 finger protein atl52 [Phtheirospermum japonicum]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11262_c0_g1_i1:458-1588(+)	6.93115960041912	0.0014444475238075	R_cType	ref|XP_002319229.3|	1.01e-42	55.556	74.81	RING-H2 finger protein ATL52 [Populus trichocarpa]<>hypothetical protein POPTR_013G073500 [Populus trichocarpa]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11262_c0_g1_i1:458-1588(+)	6.93115960041912	0.0014444475238075	R_cType	gb|KAF9836422.1|	1.09e-42	53.571	74.29	hypothetical protein H0E87_000442 [Populus deltoides]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11262_c0_g1_i1:458-1588(+)	6.93115960041912	0.0014444475238075	R_cType	ref|XP_022738172.1|	1.22e-42	39.556	59.56	E3 ubiquitin-protein ligase Os04g0590900-like [Durio zibethinus]
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11262_c0_g1_i1:458-1588(+)	6.93115960041912	0.0014444475238075	R_cType	ref|XP_011086388.1|	1.73e-42	56.618	75	RING-H2 finger protein ATL52 [Sesamum indicum]
