qseqid	sseqid	evalue	bitscore	length	pident	ppos	qcovs	qlen	qstart	qend	qframe	slen	sstart	send	sframe	staxid	sskingdom	sscinames	scomnames	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT3G48720.1	3.07e-71	231	441	33.787	54.42	95	457	11	444	1	430	1	426	1	N/A	N/A	N/A	N/A	AT3G48720.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr3:18046527-18049295 FORWARD LENGTH=430
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT2G40230.1	5.30e-63	210	434	33.180	53.46	92	457	28	448	1	433	12	430	1	N/A	N/A	N/A	N/A	AT2G40230.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr2:16803285-16804586 REVERSE LENGTH=433
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT1G65450.1	2.07e-62	209	445	32.584	49.44	94	457	16	444	1	450	13	443	1	N/A	N/A	N/A	N/A	AT1G65450.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr1:24315875-24318895 FORWARD LENGTH=450
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR103721_c0_g1_i1:129-1499(+)	AT1G03390.1	1.41e-59	202	431	32.019	49.88	91	457	30	444	1	461	31	453	1	N/A	N/A	N/A	N/A	AT1G03390.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr1:841033-842418 REVERSE LENGTH=461
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT5G41040.1	0.0	578	433	63.741	78.98	97	441	12	440	1	457	26	457	1	N/A	N/A	N/A	N/A	AT5G41040.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:16431448-16433086 FORWARD LENGTH=457
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT5G41040.2	0.0	577	433	63.741	78.98	97	441	12	440	1	441	10	441	1	N/A	N/A	N/A	N/A	AT5G41040.2 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:16431582-16433086 FORWARD LENGTH=441
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT5G63560.1	0.0	518	431	58.933	74.01	97	441	12	440	1	426	2	426	1	N/A	N/A	N/A	N/A	AT5G63560.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:25449517-25451234 FORWARD LENGTH=426
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT3G48720.1	2.56e-177	502	423	56.028	74.94	96	441	19	440	1	430	9	430	1	N/A	N/A	N/A	N/A	AT3G48720.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr3:18046527-18049295 FORWARD LENGTH=430
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT5G48930.1	9.55e-90	279	439	36.902	54.21	96	441	15	438	1	433	1	430	1	N/A	N/A	N/A	N/A	AT5G48930.1 | Symbols: HCT | hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase | chr5:19836654-19838092 REVERSE LENGTH=433
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT1G27620.1	4.95e-84	265	424	35.613	54.95	94	441	22	435	1	442	12	422	1	N/A	N/A	N/A	N/A	AT1G27620.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr1:9608444-9610432 FORWARD LENGTH=442
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT1G65450.1	1.33e-82	261	440	35.455	55.91	96	441	17	439	1	450	16	446	1	N/A	N/A	N/A	N/A	AT1G65450.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr1:24315875-24318895 FORWARD LENGTH=450
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT1G03390.1	4.80e-75	242	437	35.469	55.15	95	441	23	440	1	461	26	457	1	N/A	N/A	N/A	N/A	AT1G03390.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr1:841033-842418 REVERSE LENGTH=461
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT5G17540.1	2.37e-68	224	433	32.333	52.89	95	441	14	434	1	461	4	432	1	N/A	N/A	N/A	N/A	AT5G17540.1 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:5782061-5783682 REVERSE LENGTH=461
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	AT3G03480.1	1.06e-66	220	448	33.482	50.45	98	441	1	434	1	454	1	441	1	N/A	N/A	N/A	N/A	AT3G03480.1 | Symbols: CHAT | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase | chr3:828400-829863 REVERSE LENGTH=454
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR1063_c9_g5_i1:1-465(+)	AT5G36930.1	1.09e-24	99.0	146	37.671	56.85	91	155	9	149	1	1188	18	157	1	N/A	N/A	N/A	N/A	AT5G36930.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr5:14567771-14571907 REVERSE LENGTH=1188
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR1063_c9_g5_i1:1-465(+)	AT5G36930.2	1.10e-24	99.0	146	37.671	56.85	91	155	9	149	1	1191	21	160	1	N/A	N/A	N/A	N/A	AT5G36930.2 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr5:14567771-14571916 REVERSE LENGTH=1191
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR1063_c9_g5_i1:1-465(+)	AT1G52900.1	2.02e-23	90.9	146	36.301	54.11	94	155	9	154	1	199	42	172	1	N/A	N/A	N/A	N/A	AT1G52900.1 | Symbols:  | Toll-Interleukin-Resistance (TIR) domain family protein | chr1:19702211-19702916 REVERSE LENGTH=199
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	AT1G44575.1	1.58e-67	209	144	85.417	91.67	67	236	95	236	1	265	65	208	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	AT1G44575.1	7.70e-21	88.2	110	48.182	59.09	67	236	79	188	1	265	164	260	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	AT1G44575.2	1.60e-51	166	120	83.333	90.00	50	236	95	212	1	205	65	184	1	N/A	N/A	N/A	N/A	AT1G44575.2 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16872548 FORWARD LENGTH=205
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	AT1G44575.1	1.58e-67	209	144	85.417	91.67	67	236	95	236	1	265	65	208	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	AT1G44575.1	7.70e-21	88.2	110	48.182	59.09	67	236	79	188	1	265	164	260	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	AT1G44575.2	1.60e-51	166	120	83.333	90.00	50	236	95	212	1	205	65	184	1	N/A	N/A	N/A	N/A	AT1G44575.2 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16872548 FORWARD LENGTH=205
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	AT1G44575.1	3.11e-61	189	130	86.154	92.31	94	136	9	136	1	265	69	198	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	AT1G44575.2	1.72e-52	164	116	85.345	91.38	84	136	9	122	1	205	69	184	1	N/A	N/A	N/A	N/A	AT1G44575.2 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16872548 FORWARD LENGTH=205
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	AT1G44575.1	3.11e-61	189	130	86.154	92.31	94	136	9	136	1	265	69	198	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	AT1G44575.2	1.72e-52	164	116	85.345	91.38	84	136	9	122	1	205	69	184	1	N/A	N/A	N/A	N/A	AT1G44575.2 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16872548 FORWARD LENGTH=205
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i4:21-377(-)	AT1G44575.1	2.27e-58	181	119	76.471	87.39	98	119	1	117	1	265	147	265	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i4:21-377(-)	AT1G44575.1	2.27e-58	181	119	76.471	87.39	98	119	1	117	1	265	147	265	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g6_i1:21-377(-)	AT1G44575.1	2.27e-58	181	119	76.471	87.39	98	119	1	117	1	265	147	265	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g9_i1:3-311(-)	AT1G44575.1	8.21e-51	160	105	77.143	88.57	100	103	1	103	1	265	147	251	1	N/A	N/A	N/A	N/A	AT1G44575.1 | Symbols: NPQ4, PSBS | Chlorophyll A-B binding family protein | chr1:16871768-16873194 FORWARD LENGTH=265
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT1G20160.1	0.0	672	706	50.142	66.15	96	724	28	724	1	769	35	711	1	N/A	N/A	N/A	N/A	AT1G20160.1 | Symbols: ATSBT5.2 | Subtilisin-like serine endopeptidase family protein | chr1:6990852-6993854 REVERSE LENGTH=769
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT1G20160.2	0.0	670	668	51.647	67.51	91	724	66	724	1	730	28	672	1	N/A	N/A	N/A	N/A	AT1G20160.2 | Symbols: ATSBT5.2 | Subtilisin-like serine endopeptidase family protein | chr1:6990852-6993737 REVERSE LENGTH=730
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT1G20150.1	0.0	592	717	45.328	63.60	96	724	29	724	1	780	33	719	1	N/A	N/A	N/A	N/A	AT1G20150.1 | Symbols:  | Subtilisin-like serine endopeptidase family protein | chr1:6987332-6990361 REVERSE LENGTH=780
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT2G04160.1	3.48e-168	502	719	40.612	58.69	97	724	23	723	1	772	26	717	1	N/A	N/A	N/A	N/A	AT2G04160.1 | Symbols: AIR3 | Subtilisin-like serine endopeptidase family protein | chr2:1401450-1407694 REVERSE LENGTH=772
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT5G59090.1	8.36e-163	487	689	42.380	59.94	94	724	21	704	1	736	25	656	1	N/A	N/A	N/A	N/A	AT5G59090.1 | Symbols: ATSBT4.12, SBT4.12 | subtilase 4.12 | chr5:23852125-23855235 REVERSE LENGTH=736
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT5G59100.1	4.43e-162	485	699	41.917	60.37	96	724	25	720	1	741	31	680	1	N/A	N/A	N/A	N/A	AT5G59100.1 | Symbols:  | Subtilisin-like serine endopeptidase family protein | chr5:23858951-23862087 REVERSE LENGTH=741
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT5G59090.3	5.18e-162	485	689	42.671	60.23	94	724	21	704	1	734	25	654	1	N/A	N/A	N/A	N/A	AT5G59090.3 | Symbols: ATSBT4.12, SBT4.12 | subtilase 4.12 | chr5:23852125-23855235 REVERSE LENGTH=734
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT5G59090.2	2.25e-161	483	689	42.380	59.80	94	724	21	704	1	731	25	651	1	N/A	N/A	N/A	N/A	AT5G59090.2 | Symbols: ATSBT4.12, SBT4.12 | subtilase 4.12 | chr5:23852125-23855235 REVERSE LENGTH=731
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT5G67360.1	2.66e-157	474	698	41.691	60.60	96	724	23	715	1	757	26	692	1	N/A	N/A	N/A	N/A	AT5G67360.1 | Symbols: ARA12 | Subtilase family protein | chr5:26872192-26874465 REVERSE LENGTH=757
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10647_c6_g4_i1:3-2174(-)	AT5G59810.1	3.51e-157	474	724	39.917	56.77	98	724	15	723	1	778	29	722	1	N/A	N/A	N/A	N/A	AT5G59810.1 | Symbols: ATSBT5.4, SBT5.4 | Subtilase family protein | chr5:24096895-24100387 REVERSE LENGTH=778
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT3G51680.1	1.09e-56	180	175	54.857	69.71	96	181	4	177	1	303	131	303	1	N/A	N/A	N/A	N/A	AT3G51680.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:19173622-19174667 REVERSE LENGTH=303
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT3G26760.1	5.31e-47	155	165	47.273	69.09	91	181	5	169	1	300	130	290	1	N/A	N/A	N/A	N/A	AT3G26760.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:9843639-9844899 FORWARD LENGTH=300
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT3G26770.1	2.15e-46	154	171	46.784	66.67	94	181	5	175	1	306	135	299	1	N/A	N/A	N/A	N/A	AT3G26770.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:9845494-9847079 FORWARD LENGTH=306
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT4G03140.1	1.86e-44	150	170	47.059	62.94	92	181	5	171	1	343	171	331	1	N/A	N/A	N/A	N/A	AT4G03140.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr4:1392191-1393662 FORWARD LENGTH=343
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT3G29250.2	1.88e-44	147	168	48.810	66.07	92	181	5	171	1	260	99	255	1	N/A	N/A	N/A	N/A	AT3G29250.2 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:11193767-11194840 REVERSE LENGTH=260
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT3G29250.1	5.63e-44	147	168	48.810	66.07	92	181	5	171	1	298	137	293	1	N/A	N/A	N/A	N/A	AT3G29250.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:11193767-11194948 REVERSE LENGTH=298
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT1G52340.1	2.83e-43	145	178	44.382	63.48	97	181	5	179	1	285	116	285	1	N/A	N/A	N/A	N/A	AT1G52340.1 | Symbols: ABA2, SIS4, GIN1, SDR1, ISI4, SRE1, ATABA2, ATSDR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr1:19489997-19491527 REVERSE LENGTH=285
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT2G47130.1	2.63e-41	139	168	45.833	63.10	92	181	5	171	1	257	99	254	1	N/A	N/A	N/A	N/A	AT2G47130.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:19349627-19350481 REVERSE LENGTH=257
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT2G47120.1	3.73e-41	139	169	44.379	65.09	93	181	4	171	1	258	98	253	1	N/A	N/A	N/A	N/A	AT2G47120.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:19347359-19348223 REVERSE LENGTH=258
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	AT3G29260.1	4.85e-41	139	168	45.238	63.69	92	181	5	171	1	259	99	254	1	N/A	N/A	N/A	N/A	AT3G29260.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:11215952-11216834 REVERSE LENGTH=259
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	AT3G51680.1	6.88e-58	183	175	54.857	69.71	96	181	4	177	1	303	131	303	1	N/A	N/A	N/A	N/A	AT3G51680.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:19173622-19174667 REVERSE LENGTH=303
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	AT3G26760.1	1.63e-49	162	166	46.988	68.07	92	181	5	170	1	300	130	291	1	N/A	N/A	N/A	N/A	AT3G26760.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:9843639-9844899 FORWARD LENGTH=300
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	AT4G03140.1	1.85e-47	157	170	48.235	64.12	92	181	5	171	1	343	171	331	1	N/A	N/A	N/A	N/A	AT4G03140.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr4:1392191-1393662 FORWARD LENGTH=343
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	AT1G52340.1	2.32e-47	155	178	45.506	64.61	97	181	5	179	1	285	116	285	1	N/A	N/A	N/A	N/A	AT1G52340.1 | Symbols: ABA2, SIS4, GIN1, SDR1, ISI4, SRE1, ATABA2, ATSDR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr1:19489997-19491527 REVERSE LENGTH=285
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	AT3G29250.2	2.96e-47	154	168	49.405	66.67	92	181	5	171	1	260	99	255	1	N/A	N/A	N/A	N/A	AT3G29250.2 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr3:11193767-11194840 REVERSE LENGTH=260
